,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Poss,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Aston Villa,31,53.9,46,506,4140,81,59,6,8,80,3,1.76,1.28,3.04,1.63,2.91
Birmingham City,25,40.5,46,506,4140,62,46,2,3,81,3,1.35,1.00,2.35,1.30,2.30
Blackburn,28,50.0,46,506,4140,63,30,9,9,73,2,1.37,0.65,2.02,1.17,1.83
Bolton,32,40.8,46,495,4050,28,20,0,1,76,4,0.62,0.44,1.07,0.62,1.07
Brentford,30,58.6,46,495,4050,69,53,3,3,75,3,1.53,1.18,2.71,1.47,2.64
Bristol City,29,51.6,46,506,4140,56,42,2,2,78,2,1.22,0.91,2.13,1.17,2.09
Derby County,29,56.2,46,506,4140,68,46,5,5,96,1,1.48,1.00,2.48,1.37,2.37
Hull City,28,45.9,46,506,4140,66,43,4,5,70,1,1.43,0.93,2.37,1.35,2.28
Ipswich Town,38,49.8,46,506,4140,34,25,2,2,76,5,0.74,0.54,1.28,0.70,1.24
Leeds United,28,64.6,46,506,4140,72,61,2,5,86,4,1.57,1.33,2.89,1.52,2.85
Middlesbrough,24,43.6,46,506,4140,48,27,5,5,80,3,1.04,0.59,1.63,0.93,1.52
Millwall,29,43.8,46,506,4140,47,35,3,5,78,1,1.02,0.76,1.78,0.96,1.72
Norwich City,24,57.6,46,506,4140,92,70,1,7,79,1,2.00,1.52,3.52,1.98,3.50
Nott'ham Forest,32,49.6,46,506,4140,58,39,5,9,105,6,1.26,0.85,2.11,1.15,2.00
Preston,31,51.3,46,506,4140,64,44,5,5,69,7,1.39,0.96,2.35,1.28,2.24
QPR,29,44.5,46,506,4140,52,36,2,5,92,1,1.13,0.78,1.91,1.09,1.87
Reading,39,49.3,46,506,4140,48,33,3,4,80,3,1.04,0.72,1.76,0.98,1.70
Rotherham Utd,26,42.1,46,506,4140,50,28,6,7,72,3,1.09,0.61,1.70,0.96,1.57
Sheffield Utd,26,52.1,46,506,4140,75,59,5,7,75,3,1.63,1.28,2.91,1.52,2.80
Sheffield Weds,31,48.4,46,506,4140,59,45,2,4,76,3,1.28,0.98,2.26,1.24,2.22
Stoke City,30,51.2,46,506,4140,43,32,2,8,72,5,0.93,0.70,1.63,0.89,1.59
Swansea City,28,57.7,46,506,4140,60,45,4,7,45,1,1.30,0.98,2.28,1.22,2.20
West Brom,29,51.6,46,506,4140,84,51,8,9,78,5,1.83,1.11,2.93,1.65,2.76
Wigan Athletic,32,47.0,46,506,4140,50,30,7,9,91,4,1.09,0.65,1.74,0.93,1.59
