,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Poss,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA
Arsenal,28,58.0,38,418,3420,69,52,4,5,73,2,1.82,1.37,3.18,1.71,3.08,56.5,52.6,56.5,1.49,1.49,2.98,1.38,2.87
Bournemouth,28,46.8,38,418,3420,55,43,7,9,60,1,1.45,1.13,2.58,1.26,2.39,53.6,46.8,53.6,1.41,1.41,2.82,1.23,2.64
Brighton,21,42.6,38,418,3420,35,24,5,6,61,4,0.92,0.63,1.55,0.79,1.42,34.8,30.2,34.8,0.92,0.92,1.83,0.80,1.71
Burnley,23,41.2,38,418,3420,43,32,2,2,75,1,1.13,0.84,1.97,1.08,1.92,41.4,39.9,41.4,1.09,1.09,2.18,1.05,2.14
Cardiff City,25,35.6,38,418,3420,33,20,3,4,66,1,0.87,0.53,1.39,0.79,1.32,39.6,36.6,39.6,1.04,1.04,2.09,0.96,2.01
Chelsea,24,62.8,38,418,3420,61,52,5,5,49,0,1.61,1.37,2.97,1.47,2.84,57.9,54.1,57.9,1.52,1.52,3.05,1.42,2.95
Crystal Palace,26,45.0,38,418,3420,48,33,10,11,58,2,1.26,0.87,2.13,1.00,1.87,50.7,42.8,50.7,1.33,1.33,2.67,1.13,2.46
Everton,23,51.5,38,418,3420,53,34,2,5,56,4,1.39,0.89,2.29,1.34,2.24,47.4,43.5,47.4,1.25,1.25,2.50,1.14,2.39
Fulham,28,48.6,38,418,3420,33,24,2,3,70,2,0.87,0.63,1.50,0.82,1.45,39.5,37.2,39.5,1.04,1.04,2.08,0.98,2.02
Huddersfield,31,47.0,38,418,3420,20,13,1,1,56,4,0.53,0.34,0.87,0.50,0.84,30.0,29.3,30.0,0.79,0.79,1.58,0.77,1.56
Leicester City,25,51.1,38,418,3420,48,34,5,7,60,5,1.26,0.89,2.16,1.13,2.03,49.4,44.3,49.4,1.30,1.30,2.60,1.16,2.46
Liverpool,23,61.7,38,418,3420,86,55,7,7,39,2,2.26,1.45,3.71,2.08,3.53,72.9,67.6,72.9,1.92,1.92,3.84,1.78,3.70
Manchester City,21,67.8,38,418,3420,91,71,3,4,44,1,2.39,1.87,4.26,2.32,4.18,81.6,78.5,81.6,2.15,2.15,4.29,2.07,4.21
Manchester Utd,28,54.5,38,418,3420,65,40,9,12,75,4,1.71,1.05,2.76,1.47,2.53,59.6,50.4,59.6,1.57,1.57,3.14,1.33,2.90
Newcastle Utd,24,40.4,38,418,3420,41,33,1,3,57,2,1.08,0.87,1.95,1.05,1.92,38.8,36.5,38.8,1.02,1.02,2.04,0.96,1.98
Southampton,30,43.9,38,418,3420,44,27,4,5,73,3,1.16,0.71,1.87,1.05,1.76,45.2,41.5,45.2,1.19,1.19,2.38,1.09,2.28
Tottenham,28,58.9,38,418,3420,66,47,4,4,57,3,1.74,1.24,2.97,1.63,2.87,54.4,51.4,54.4,1.43,1.43,2.86,1.35,2.78
Watford,25,47.1,38,418,3420,51,39,1,1,79,4,1.34,1.03,2.37,1.32,2.34,47.7,47.0,47.7,1.26,1.26,2.51,1.24,2.49
West Ham,26,48.7,38,418,3420,51,33,5,5,59,1,1.34,0.87,2.21,1.21,2.08,48.4,44.7,48.4,1.27,1.27,2.55,1.18,2.45
Wolves,21,46.9,38,418,3420,46,35,4,4,73,1,1.21,0.92,2.13,1.11,2.03,49.4,46.4,49.4,1.30,1.30,2.60,1.22,2.52
